,Words,Total Frequency
4745,hernandez,3
4746,grisanti,2
4747,petroleo,2
4748,pdvsa,1
4749,cepe,1
4750,miraflor,1
4751,palac,1
4752,fernando,2
4753,santo,8
4754,alvit,4
4755,notifi,2
4756,telex,4
4757,1.495,1
4758,"210,000",1
4759,bpd,9
4760,19:10:26.95,1
4761,eagl,1
4762,egl,1
4763,"901,000",1
4764,36.9,1
4765,36.2,1
4766,"716,000",2
4767,63.6,1
4768,issuanc,3
4769,19:11:19.94,1
4770,repuls,1
4771,front,4
4772,repel,2
4773,town,2
4774,amarah,1
4775,baghdad-basra,1
4776,highway,1
4777,communiqu,3
4778,infantri,1
4779,overnight,4
4780,fierc,1
4781,fight,10
4782,rage,1
4783,troop,2
4784,flee,1
4785,battlefield,1
4786,men,1
4787,kill,5
4788,wound,3
4789,fought,1
4790,mainli,6
4791,swampland,1
4792,hawizah,1
4793,marsh,1
4794,eastward,1
4795,19:15:32.68,1
4796,protection,1
4797,paul,4
4798,channon,2
4799,heed,1
4800,deflect,1
4801,propens,1
4802,injuri,2
4803,9.8,4
4804,regrett,1
4805,5.8,3
4806,19:18:49.58,1
4807,taft,4
4808,tfb,1
4809,145,2
4810,dlr/shr,1
4811,braodacast,1
4812,theta,1
4813,dudley,1
4814,inadequ,1
4815,conclud,2
4816,propsect,1
4817,08:48:26.10,1
4818,sosnoff,11
4819,caesar,14
4820,caw,1
4821,mt,6
4822,martin,2
4823,30.3,2
4824,13.3,1
4825,casino,4
4826,nevada,3
4827,honeymoon,1
4828,resort,6
4829,pocono,1
4830,mountain,5
4831,jersey,3
4832,cjn,1
4833,atlant,2
4834,190.4,1
4835,"7,500,000",1
4836,163.8,2
4837,41.0,2
4838,694.4,1
4839,mm,5
4840,painewebb,5
4841,pwj,3
4842,475,1
4843,mezzanin,1
4844,seat,5
4845,atalanta/sosnoff,1
4846,clearanc,1
4847,antitrust,1
4848,henri,1
4849,gluck,2
4850,legal,3
4851,repeatedli,1
4852,numer,2
4853,maxim,1
4854,twicc,1
4855,notic,1
4856,obstacl,2
4857,08:51:35.60,1
4858,dutch,13
4859,cpb,14
4860,centraal,1
4861,planbureau,1
4862,nni,1
4863,gross,6
4864,432.20,1
4865,constant,2
4866,423.95,1
4867,8.5,3
4868,2.45,2
4869,labour,3
4870,netherland,1
4871,consumpt,7
4872,mitig,1
4873,deflat,1
4874,11.5,1
4875,slight,2
4876,taxat,1
4877,social,3
4878,"675,000",1
4879,"710,000",1
4880,gdp,7
4881,pierson,3
4882,heldr,1
4883,en,3
4884,document,2
4885,pessimist,2
4886,08:51:49.54,1
4887,trump,3
4888,rtb,1
4889,crosbi,3
4890,"340,783",1
4891,"752,297",1
4892,"6,432,000",1
4893,93,1
4894,08:54:12.02,1
4895,iomega,8
4896,iomg,1
4897,labor,10
4898,downsiz,1
4899,qualifi,3
4900,suit,4
4901,indirect,2
4902,183,1
4903,function,3
4904,182,1
4905,alpha,1
4906,disk,23
4907,bernoulli,1
4908,box,2
4909,finish,5
4910,5-1/4,1
4911,beta,1
4912,08:58:22.38,1
4913,technology/new,1
4914,era,3
4915,handl,10
4916,ground-break,1
4917,retriev,6
4918,usher,1
4919,user,5
4920,eastman,2
4921,kodak,22
4922,ek,2
4923,catalogu,1
4924,shelv,1
4925,computer,2
4926,librari,4
4927,flurri,2
4928,multimedia,1
4929,blitz,1
4930,ian,2
4931,warhaftig,3
4932,framingham,1
4933,mass,4
4934,peter,2
4935,gile,2
4936,memori,8
4937,vari,2
4938,verif,1
4939,relay,1
4940,client,2
4941,speed,2
4942,architect,1
4943,photograph,2
4944,sketch,1
4945,video,4
4946,sound,2
4947,understood,1
4948,space,2
4949,optic,14
4950,550,1
4951,megabyt,1
4952,"250,000",4
4953,typewritten,1
4954,text,3
4955,read-onli,1
4956,cd-rom,12
4957,medium,2
4958,microsoft,3
4959,bookshelf,2
4960,dictionari,1
4961,thesauru,2
4962,zip,1
4963,code,1
4964,directori,1
4965,bartlett,1
4966,familiar,1
4967,quotat,2
4968,almanac,1
4969,score,1
4970,specialti,4
4971,lotu,1
4972,drawback,1
4973,read,3
4974,idc,1
4975,eventu,1
4976,insid,2
4977,imagin,1
4978,spell,1
4979,checker,1
4980,fingertip,1
4981,word,1
4982,unveil,1
4983,12-inch,3
4984,jukebox-lik,1
4985,cabinet,1
4986,matter,4
4987,14-inch,2
4988,gigabyt,3
4989,meanwhil,3
4990,cd-interact,1
4991,hook,2
4992,stereo,1
4993,four-megabyt,2
4994,meantim,1
4995,nippon,2
4996,16-megabyt,1
4997,away,3
4998,sometim,2
4999,immens,2
5000,09:01:34.94,1
5001,seaman,21
5002,alert,1
5003,275,1
5004,shipown,3
5005,noth,1
5006,protest,2
5007,abandon,2
5008,let,4
5009,rio,3
5010,janeiro,3
5011,navi,2
5012,henriqu,1
5013,saboya,1
5014,160,1
5015,petrol,1
5016,shutdown,1
5017,stoppag,1
5018,09:06:39.94,1
5019,0.68,1
5020,0.77,1
5021,aba,3
5022,10.8,3
5023,significantli,2
5024,9.6,3
5025,unprofit,1
5026,8.8,1
5027,0.73,1
5028,0.59,1
5029,09:08:09.30,1
5030,87,1
5031,linerboard,1
5032,pro-growth,1
5033,attent,3
5034,fairli,2
5035,climat,3
5036,essenti,2
5037,ingredi,1
5038,cavaney,10
5039,mimic,1
5040,paperboard,1
5041,slimmer,1
5042,slacken,2
5043,spur,2
5044,carton,1
5045,corrug,1
5046,importantli,2
5047,effici,2
5048,impedi,1
5049,09:11:10.46,1
5050,bonn,4
5051,tietmey,5
5052,stabil,6
5053,han,1
5054,journalist,2
5055,secret,1
5056,foster,2
5057,hardli,1
5058,schlecht,3
5059,bolster,1
5060,12-nation,1
5061,autumn,1
5062,upturn,2
5063,remedi,1
5064,09:11:41.38,1
5065,saudi-french,3
5066,paid-up,3
5067,al,3
5068,saudi,3
5069,fransi,1
5070,riyal,1
5071,jeddah-bas,1
5072,banqu,1
5073,indosuez,2
5074,riyadh,1
5075,09:45:10.22,1
5076,33p,1
5077,38p,1
5078,97,1
5079,1.71,2
5080,1.76,1
5081,09:45:49.05,1
5082,criticis,2
5083,imposs,2
5084,9-1/2,1
5085,fnsea,3
5086,francoi,1
5087,guillaum,1
5088,repercuss,2
5089,never,4
5090,outlet,6
5091,rouen,1
5092,raymond,2
5093,lacomb,1
5094,young,1
5095,demonstr,3
5096,freez,10
5097,pig,1
5098,violent,1
5099,09:52:38.52,1
5100,ibj,2
5101,cd,3
5102,samuel,1
5103,grenfel,1
5104,s.g,1
5105,warburg,1
5106,365,1
5107,09:53:39.85,1
5108,ward,3
5109,12.7,3
5110,09:54:03.66,1
5111,equatori,8
5112,equa,2
5113,3.84,1
5114,"56,879,000",1
5115,"23,000",1
5116,10.3,1
5117,17.7,1
5118,4.60,1
5119,"67,818,000",1
5120,"1,807,000",1
5121,50.9,1
5122,56.1,1
5123,"14,734,000",1
5124,"12,801,000",1
5125,one-tim,2
5126,45.2,1
5127,09:55:41.23,1
5128,"15,000",2
5129,noon,1
5130,0900,1
5131,adbul-jabbar,1
5132,mohsen,1
5133,casualti,1
5134,fresh,1
5135,fish,2
5136,km,8
5137,tehran,1
5138,peak,3
5139,kardamanend,1
5140,overlook,1
5141,haj,1
5142,omran-rawandiz,1
5143,axi,1
5144,border,1
5145,relax,6
5146,occupi,2
5147,09:56:03.54,1
5148,enzon,4
5149,enzn,1
5150,drug,3
5151,peg-ada,3
5152,born,1
5153,defici,1
5154,enzym,6
5155,adenosin,2
5156,deaminas,2
5157,disord,1
5158,immunodefici,1
5159,bubbl,3
5160,boy,2
5161,rare,1
5162,adulthood,1
5163,steril,1
5164,environ,5
5165,plastic,1
5166,infect,2
5167,duke,1
5168,suffer,4
5169,ada,1
5170,coat,2
5171,substanc,1
5172,polyethylen,2
5173,glycol,1
5174,peg,2
5175,disguis,1
5176,laboratori,1
5177,t-lymphocyt,1
5178,height,1
5179,hershfield,1
5180,rebecca,1
5181,buckley,1
5182,inject,3
5183,marrow,1
5184,transplant,2
5185,unsuccess,1
5186,09:59:40.82,1
5187,trimedyn,3
5188,tmed,1
5189,automedix,2
5190,scienc,1
5191,44,2
5192,interesdt,1
5193,spun-off,1
5194,saleabl,1
5195,10:00:29.72,1
5196,k,8
5197,mart,8
5198,1.46,1
5199,1.29,1
5200,merchandis,2
5201,excel,4
5202,10:01:44.44,1
5203,casi,1
5204,"1,900,000",1
5205,"1,600,000",1
5206,68.2,1
5207,69.6,1
5208,"7,100,000",1
5209,"4,700,000",1
5210,214.0,1
5211,219.5,1
5212,09:46:55.59,1
5213,pickup,2
5214,tonic,1
5215,sharpest,1
5216,09:47:47.16,1
5217,insititut,1
5218,guidelin,1
5219,53.4,1
5220,09:48:24.78,1
5221,aero,3
5222,nasdaq,2
5223,requiement,1
5224,nasd,1
5225,impos,4
5226,09:49:23.53,1
5227,kenyan,2
5228,boom,1
5229,arap,1
5230,moi,3
5231,speech,4
5232,cheap,1
5233,shill,1
5234,5.6,2
5235,10.7,1
5236,kenya,2
5237,94,2
5238,2.14,1
5239,crept,1
5240,phase,2
5241,extern,3
5242,imper,1
5243,disciplin,2
5244,wananchi,1
5245,frugal,1
5246,09:49:45.02,1
5247,tri-star,2
5248,trsp,1
5249,calendar,3
5250,motion,2
5251,exhibit,1
5252,two-month,1
5253,09:50:34.51,1
5254,lifetim,3
5255,lft,1
5256,morn,7
5257,1000,1
5258,1030,1
5259,09:53:44.44,1
5260,hospit,3
5261,09:57:02.21,1
5262,zimbabw,2
5263,zimbabwean,1
5264,"11,000",2
5265,robin,2
5266,taylor,2
5267,ziana,1
5268,173,1
5269,"5,632",1
5270,l986,1
5271,09:58:00.11,1
5272,yanke,2
5273,ynk,1
5274,swap,2
5275,"3,916,000",1
5276,yfc,1
5277,"501,807",1
5278,10:00:52.96,1
5279,display,2
5280,vide,1
5281,cabl,2
5282,tv,1
5283,corfp,1
5284,tenti,1
5285,redeploy,2
5286,17:33:29.55,1
5287,armor,1
5288,armr,1
5289,17:34:11.89,1
5290,readdress,1
5291,easi,1
5292,yergin,1
5293,cambridg,1
5294,cera,1
5295,mlotok,1
5296,optim,1
5297,wish,1
5298,uncertain,2
5299,learn,1
5300,deem,1
5301,differenti,1
5302,spoke,2
5303,teach,1
5304,lesson,1
5305,mizrahi,3
5306,editor,1
5307,mideast,1
5308,winter,6
5309,anyth,3
5310,reiter,3
5311,dillard,1
5312,sprigg,1
5313,bijan,1
5314,moussavar-rahmani,1
5315,harvard,1
5316,prompt,2
5317,character,1
5318,cheat,1
5319,17:34:23.04,1
5320,cenergi,3
5321,crg,1
5322,"790,000",1
5323,calend,1
5324,63.4,1
5325,6.54,1
5326,47.6,1
5327,noncash,1
5328,"3,705,000",1
5329,60.1,1
5330,63.7,1
5331,disappear,2
5332,recov,4
5333,17:34:40.53,1
5334,nt,1
5335,post-split,2
5336,17:34:45.19,1
5337,torchmark,4
5338,tmk,2
5339,debenur,1
5340,17:34:52.72,1
5341,8-1/4,1
5342,2008,1
5343,"1,060.50",1
5344,42.35,1
5345,17:35:19.17,1
5346,r.p,2
5347,scherer,3
5348,schc,1
5349,manoogian,2
5350,17:35:52.41,1
5351,parlux,2
5352,fragranc,3
5353,"420,000",2
5354,uni,1
5355,r.c,1
5356,stamm,1
5357,rosenkrantz,1
5358,lyon,2
5359,ross,1
5360,beauti,1
5361,klein,1
5362,17:35:59.59,1
5363,techamerica,1
5364,tch,1
5365,"562,231",1
5366,"10,253",1
5367,"8,871,874",1
5368,"9,549,308",1
5369,"5,058,145",1
5370,"766,185",1
5371,34.3,1
5372,35.5,1
5373,17:36:04.21,1
5374,wilfr,1
5375,wae,1
5376,15:52:33.91,1
5377,360,2
5378,refinanc,2
5379,westar,3
5380,timber,1
5381,15:53:40.40,1
5382,jose,2
5383,lui,1
5384,machinea,4
5385,mario,3
5386,brodersohn,3
5387,biilion,1
5388,juan,1
5389,sourrouil,1
5390,vice-presid,1
5391,knox,1
5392,bueno,1
5393,bridg,5
5394,lona,1
5395,15:54:21.09,1
5396,wholesal,4
5397,gasolin,2
5398,5.5,3
5399,21.3,3
5400,15:55:47.33,1
5401,upgrad,3
5402,s/p,2
5403,dc,1
5404,pair,2
5405,bb-plu,1
5406,bb-minu,2
5407,feedstock,1
5408,15:56:03.81,1
5409,detroit,1
5410,compel,1
5411,string,1
5412,rebat,2
5413,below-market,1
5414,reignit,1
5415,domestic-built,2
5416,1-10,1
5417,"97,487",1
5418,"104,952",1
5419,"40,131",1
5420,"35,081",1
5421,bright,2
5422,chevrolet,2
5423,campaign,4
5424,corsica,1
5425,beretta,1
5426,count,1
5427,buick,1
5428,cadillac,1
5429,7.8,1
5430,pontiac,1
5431,oldsmobil,1
5432,53.6,1
5433,48.1,1
5434,"50,407",1
5435,"47,592",1
5436,"35,814",1
5437,"31,811",1
5438,0.4,2
5439,"25,286",1
5440,"25,191",1
5441,"15,565",1
5442,"13,585",1
5443,honda,1
5444,hmc,1
5445,"4,394",1
5446,"3,786",1
5447,volkswagen,1
5448,4.9,1
5449,849,1
5450,809,1
5451,760,1
5452,jeep,3
5453,"4,500",1
5454,"3,800",1
5455,nissan,1
5456,nsani,1
5457,19.1,1
5458,"2,137",1
5459,"1,794",1
5460,3.6,4
5461,"1,686",1
5462,"1,628",1
5463,toyota,1
5464,toyoy,1
5465,u.s.-built,1
5466,15:56:39.68,1
5467,undersecretari,1
5468,danial,1
5469,amstutz,1
5470,whichev,1
5471,15:59:24.64,1
5472,downgrad,2
5473,ccc-minu,2
5474,impli,1
5475,15:59:41.96,1
5476,lira,2
5477,tourism,2
5478,16:00:21.17,1
5479,dna,1
5480,adna,1
5481,"148,007",1
5482,"58,863",1
5483,"198,919",1
5484,"133,071",1
5485,"7,476,433",1
5486,"6,633,989",1
5487,"230,949",1
5488,"424,719",1
5489,"666,626",1
5490,"509,971",1
5491,scientif,1
5492,biosystem,1
5493,16:05:31.61,1
5494,oilman,2
5495,8.7,3
5496,qed,3
5497,qedx,1
5498,nichola,1
5499,powel,3
5500,"195,000",1
5501,prairi,1
5502,mack,1
5503,colt,1
5504,spent,2
5505,"609,831",1
5506,19:23:42.46,1
5507,surviv,3
5508,stricken,2
5509,8.16,3
5510,tremor,2
5511,"4,000",3
5512,sacrif,1
5513,marco,1
5514,lara,1
5515,aftermath,1
5516,19:26:43.72,1
5517,fat,2
5518,pledg,3
5519,lord,2
5520,belstead,1
5521,junior,1
5522,repugn,1
5523,20:04:55.06,1
5524,australian,6
5525,seasonally-adjust,1
5526,workforc,5
5527,8.3,2
5528,bureau,7
5529,"632,100",1
5530,"638,300",1
5531,"594,500",1
5532,unadjust,1
5533,jobless,4
5534,"699,800",1
5535,9.1,1
5536,"671,400",1
5537,8.9,1
5538,"658,500",1
5539,21:02:16.57,1
5540,domingo,1
5541,cordovez,4
5542,ecuadorean,3
5543,multilater,4
5544,mission,1
5545,926,1
5546,996,1
5547,ruptur,1
5548,cash-flow,1
5549,squeez,2
5550,2.18,2
5551,sit,1
5552,14-bank,2
5553,moment,1
5554,forseen,1
5555,realiti,1
5556,soften,1
5557,early,1
5558,12-hour,1
5559,kidnap,1
5560,leon,2
5561,febr,1
5562,cordero,1
5563,paratroop,1
5564,cross,1
5565,21:06:50.50,1
5566,foundat,1
5567,banquet,1
5568,21:32:41.13,1
5569,"310,000",1
5570,caraca,2
5571,aturo,1
5572,maracaibo,1
5573,refineri,1
5574,guayaquil,1
5575,mile,2
5576,stretch,1
5577,jungl,2
5578,balao,2
5579,21:37:18.46,1
5580,rapese,2
5581,storm,2
5582,"46,000",1
5583,hectar,1
5584,ha,2
5585,hailstorm,1
5586,tornado,1
5587,swept,1
5588,lash,2
5589,huai,1
5590,yangtz,1
5591,anhui,2
5592,dead,1
5593,flatten,1
5594,boat,1
5595,sunk,1
5596,provinci,1
5597,22:25:49.20,1
5598,round,6
5599,cnooc,2
5600,mouth,1
5601,yellow,1
5602,"44,913",1
5603,sq,1
5604,lufeng,1
5605,13-1-1,1
5606,south-east,1
5607,shenzhen,1
5608,"6,770",1
5609,bound,1
5610,1979,2
5611,eleven,1
5612,22:42:47.98,1
5613,conveni,1
5614,22:56:45.09,1
5615,amc,15
5616,hire,2
5617,motiv,1
5618,modern,1
5619,assembl,1
5620,bramalea,1
5621,ontario,1
5622,fate,1
5623,"19,000-plu",1
5624,toledo,1
5625,kenosha,1
5626,wisconsin,1
5627,"2,250",1
5628,09:12:08.15,1
5629,compaq,3
5630,cpq,1
5631,desktop,2
5632,megahertz,1
5633,deskpro,1
5634,286r,1
5635,09:12:30.97,1
5636,disappoint,2
5637,failur,4
5638,stalem,1
5639,cmb,3
5640,robusta,1
5641,makumbi,2
5642,formula,1
5643,blame,3
5644,feburari,1
5645,indonesian,3
5646,60-kilo,1
5647,october-septemb,1
5648,disrupt,1
5649,ugandan,1
5650,duti,3
5651,salari,2
5652,manpow,1
5653,bomani,2
5654,conven,1
5655,temper,2
5656,headquart,2
5657,09:17:44.88,1
5658,hungari,4
5659,8.0,1
5660,protein,3
5661,23.0,1
5662,elig,1
5663,09:21:19.67,1
5664,circuit,6
5665,acrt,1
5666,sanpao,1
5667,pharmaceut,2
5668,09:24:32.21,1
5669,"2,292,599",1
5670,norfolk,4
5671,nsc,2
5672,"1,477,829",1
5673,issuabl,1
5674,upon,1
5675,23.1,1
5676,"9,309,394",1
5677,40.2,1
5678,oustand,1
5679,18.5,2
5680,09:25:10.00,1
5681,rainfal,2
5682,parana,1
5683,umuarama,1
5684,paranavai,1
5685,millimetr,1
5686,londrina,1
5687,maringa,1
5688,sao,3
5689,paulo,1
5690,president,1
5691,prudent,1
5692,o.6,1
5693,votuporanga,1
5694,franca,1
5695,28.0,2
5696,catanduva,1
5697,carlo,1
5698,simao,1
5699,reuter11:43/vb,1
5700,09:26:28.51,1
5701,cellular,4
5702,ncel,1
5703,previously-announc,1
5704,privately-held,1
5705,nova,6
5706,resel,1
5707,"1,800",1
5708,subscrib,1
5709,"65,000",1
5710,accumul,2
5711,"650,000",1
5712,"2,600,000",1
5713,09:27:57.44,1
5714,09:30:35.65,1
5715,166,1
5716,10-3/8,1
5717,10-5/16,1
5718,213,1
5719,09:30:53.98,1
5720,cme,3
5721,cftc,4
5722,mercantil,4
5723,karsten,1
5724,mahlmann,1
5725,hoc,1
5726,brodski,1
5727,settlement,2
5728,commission,3
5729,10:02:32.72,1
5730,j.c,3
5731,penney,3
5732,catalog,2
5733,5.3,3
5734,10:02:53.85,1
5735,cereal,4
5736,licenc,2
5737,"32,500",1
5738,soft,2
5739,"375,000",2
5740,"465,000",1
5741,134,1
5742,136.50,1
5743,ecu,4
5744,137.39,1
5745,141.50,1
5746,137.93,1
5747,142.95,1
5748,133.75,1
5749,140.25,1
5750,10:03:24.09,1
5751,"37,950,000",1
5752,tohe,1
5753,"4,950,000",1
5754,kidder,1
5755,peabodi,1
5756,30.50,1
5757,1.16,1
5758,10:03:43.41,1
5759,grade,4
5760,wti,1
5761,benchmark,1
5762,17.00,1
5763,bbl,1
5764,sun,1
5765,coastal,2
5766,citgo,1
5767,murphi,1
5768,10:04:23.59,1
5769,oak,3
5770,sportswear,1
5771,ohsc,1
5772,"1,026,000",1
5773,"1,025,000",1
5774,27.8,1
5775,"3,682,000",1
5776,"598,000",1
5777,102.1,1
5778,100.4,1
5779,"3,858,000",1
5780,"3,700,000",1
5781,10:04:32.26,1
5782,"3,862,000",1
5783,"15,900,000",1
5784,42.6,1
5785,38.8,1
5786,72.1,1
5787,31.7,3
5788,2.10,1
5789,51.3,1
5790,151.7,1
5791,153.1,1
5792,59.4,1
5793,24.4,1
5794,57.1,1
5795,52.9,1
5796,operationg,1
5797,"1,000,000",1
5798,"2,493,000",1
5799,65.0,1
5800,1.09,2
5801,56,2
5802,63.0,1
5803,27.6,1
5804,17.1,2
5805,10:04:36.77,1
5806,regi,2
5807,rgi,1
5808,4-1/2,2
5809,10:05:25.49,1
5810,jamesway,2
5811,jmi,1
5812,comper,1
5813,10:09:59.43,1
5814,comparable-stor,2
5815,"1,459,193,000",1
5816,"1,289,635,000",1
5817,depot,1
5818,furr,1
5819,cafeteria,1
5820,bishop,1
5821,buffet,1
5822,10:11:50.97,1
5823,ire,2
5824,multin,4
5825,beleagur,2
5826,doldrum,2
5827,oversuppli,4
5828,often,7
5829,nickl,6
5830,oklahoma,2
5831,fellow,2
5832,steven,3
5833,symm,5
5834,idaho,3
5835,strictli,2
5836,repris,2
5837,oppos,13
5838,hear,6
5839,350-mln-dlr,1
5840,thailand,2
5841,republican-control,2
5842,disapprov,2
5843,recipi,3
5844,subsidi,8
5845,replenish,2
5846,tie,3
5847,argu,2
5848,beau,1
5849,bolter,1
5850,stiff,1
5851,10:00:57.16,1
5852,intek,1
5853,idcc,1
5854,"98,20000",1
5855,"91,898",1
5856,"2,843,520",1
5857,"2,372,457",1
5858,"401,179",1
5859,"681,374",1
5860,"9,699,535",1
5861,10:01:14.42,1
5862,beryllium,12
5863,cominco,7
5864,clt,1
5865,topaz,2
5866,southwest,2
5867,salt,4
5868,iot,1
5869,metallurg,2
5870,preliminari,6
5871,10:02:11.63,1
5872,single-famili,1
5873,"768,000",1
5874,"53,000",1
5875,"49,000",1
5876,"59,000",1
5877,"728,000",1
5878,"127,100",1
5879,surpass,1
5880,"119,100",1
5881,median,2
5882,"100,700",1
5883,"94,600",1
5884,"94,000",1
5885,"362,000",1
5886,10:02:22.46,1
5887,dimi,2
5888,dm,1
5889,briefli,1
5890,10:05:32.60,1
5891,barrick,4
5892,abx,1
5893,wholli,1
5894,10:07:42.19,1
5895,cbsi,1
5896,nichol,2
5897,"2,800,000",1
5898,10:08:28.26,1
5899,belgian,3
5900,draw,2
5901,popul,1
5902,12.4,1
5903,"508,392",1
5904,"530,587",1
5905,"521,219",1
5906,10:12:44.89,1
5907,usag,5
5908,highest-capac,1
5909,multi-mln,1
5910,business-to-busi,1
5911,threme,1
5912,vision,2
5913,well-known,1
5914,unveild,1
5915,6800,3
5916,terabyt,1
5917,tillion,1
5918,byte,1
5919,kim,8
5920,5000,4
5921,microfilm,1
5922,3000,3
5923,optical-disk-bas,1
5924,4500,2
5925,microfilm-bas,1
5926,computer-assist,1
5927,starter,1
5928,disi,1
5929,write-once/ready-many-tim,1
5930,quantiti,2
5931,autom,1
5932,randomli,1
5933,on-lin,1
5934,render,1
5935,more-than-a-terabyt,1
5936,mid-1987,2
5937,media-independ,1
5938,incorpor,1
5939,high-dens,1
5940,magnet,3
5941,"700,000",1
5942,121,1
5943,baselin,1
5944,manual,1
5945,mid-year,1
5946,compatib,1
5947,10:14:49.98,1
5948,bangor,6
5949,hydro,4
5950,hydro-electr,1
5951,mpuc,3
5952,two-stag,1
5953,stay,4
5954,6.149,1
5955,9.7,1
5956,"712,000",1
5957,10:15:06.95,1
5958,browning-ferri,2
5959,bfi,1
5960,colorado,1
5961,hazard,1
5962,colo,1
5963,explos,3
5964,radioact,1
5965,17:36:22.14,1
5966,epsilon,2
5967,epsi,1
5968,father,2
5969,"258,591",1
5970,thoma,2
5971,president-invest,1
5972,professor,1
5973,c.a,1
5974,17:36:45.13,1
5975,bio-technolog,1
5976,btgc,1
5977,17:37:22.69,1
5978,varian,2
5979,var,1
5980,a.g,1
5981,jointli,3
5982,reson,2
5983,imag,2
5984,spectroscopi,1
5985,fremont,1
5986,clinic,1
5987,anim,2
5988,17:37:57.87,1
5989,delawar,1
5990,infring,3
5991,patent,3
5992,melt-process,1
5993,ethylen,1
5994,copolym,1
5995,resin,4
5996,pipe,1
5997,enjoin,1
5998,ordrer,1
5999,17:38:47.04,1
6000,okay,1
6001,huski,7
6002,hyo,1
6003,faith,5
6004,michel,2
6005,cote,1
6006,cede,1
6007,non-canadian,1
6008,hutchison,4
6009,whampoa,2
6010,li,1
6011,ka-sh,1
6012,imperi,1
6013,commeric,1
6014,17:41:08.82,1
6015,continent,2
6016,17:42:11.10,1
6017,jam-proof,1
6018,properli,1
6019,"44,600",1
6020,airborn,1
6021,sincgar,1
6022,"1,250",1
6023,17:43:30.51,1
6024,104.6,1
6025,110.3,1
6026,205,2
6027,186.8,1
6028,21.7,1
6029,17:43:44.41,1
6030,2017,1
6031,8.65,1
6032,8-5/8,1
6033,99.73,1
6034,off-the-run,1
6035,9-1/4,1
6036,non-refund,1
6037,a-2,1
6038,aa,1
6039,22.4,1
6040,co-manag,1
6041,17:43:59.12,1
6042,ssbk,1
6043,csbk,1
6044,portland,1
6045,superintend,1
6046,16:05:38.71,1
6047,britt,3
6048,norman,1
6049,mcinni,2
6050,royal,4
6051,commut,1
6052,16:06:21.90,1
6053,armatron,2
6054,art,1
6055,16:06:58.01,1
6056,lifestyl,1
6057,lif,1
6058,"1,780,000",1
6059,"449,000",1
6060,13.9,1
6061,17.8,1
6062,"870,000",2
6063,"70,000",1
6064,16:07:06.10,1
6065,3.038,1
6066,2.715,1
6067,7.623,1
6068,8.870,1
6069,10.661,1
6070,11.586,1
6071,16:07:38.14,1
6072,sierra,1
6073,sie,1
6074,"2,943,000",1
6075,"334,000",1
6076,33.5,1
6077,1.57,1
6078,"8,781,000",1
6079,"792,000",1
6080,116.0,1
6081,56.5,1
6082,16:08:43.39,1
6083,firecom,1
6084,frcm,1
6085,"104,874",1
6086,"90,470",1
6087,"3,154,673",1
6088,"1,666,313",1
6089,"39,169",1
6090,"159,784",1
6091,"8,250,003",1
6092,"4,665,553",1
6093,16:09:02.87,1
6094,6.09,1
6095,6.71,1
6096,geographi,1
6097,10.48,1
6098,10.89,1
6099,23.68,1
6100,22.12,1
6101,16:10:20.88,1
6102,wheel,1
6103,eri,1
6104,wle,1
6105,1.4375,2
6106,16:10:59.71,1
6107,cinema,1
6108,gcn,1
6109,16:11:18.64,1
6110,labatt,1
6111,"26,158,000",1
6112,"21,798,000",1
6113,844.2,1
6114,1.08,2
6115,"92,779,000",1
6116,"77,971,000",1
6117,3.16,1
6118,72.4,1
6119,64.0,1
6120,22:57:31.32,1
6121,rothman,3
6122,rot.l,1
6123,jinan,1
6124,cigarett,5
6125,factori,4
6126,shandong,1
6127,high-qual,1
6128,brand,2
6129,donat,1
6130,co-oper,1
6131,23:00:56.20,1
6132,7.3,1
6133,4.32,1
6134,4.55,1
6135,2.08,1
6136,1.52,2
6137,555,1
6138,outflow,2
6139,520,3
6140,546,1
6141,motors-holden,1
6142,6.16,2
6143,3.88,1
6144,4.03,1
6145,548,1
6146,516,1
6147,semi-publ,1
6148,4.64,1
6149,4.42,1
6150,3.51,1
6151,23:06:27.89,1
6152,ta,2
6153,monitor,2
6154,broadcast,1
6155,0200,1
6156,blast,1
6157,19-month,1
6158,kilotonn,1
6159,23:06:44.14,1
6160,"970,000",1
6161,23:46:55.84,1
6162,stationeri,1
6163,council,3
6164,15.6,1
6165,10.62,1
6166,wine,2
6167,beer,1
6168,wider,1
6169,2.35,1
6170,1.87,2
6171,12-mar-1987,15
6172,00:06:25.87,1
6173,redirect,1
6174,export-driven,1
6175,contractor,2
6176,mith.t,1
6177,mhi,17
6178,iron,1
6179,ruler,1
6180,redoubl,1
6181,cheapest,1
6182,yotaro,1
6183,iida,8
6184,utmost,1
6185,ultra-modern,1
6186,robot,1
6187,slash,1
6188,"86,000",1
6189,cost-cut,1
6190,50.14,1
6191,mimt.t,1
6192,resurg,1
6193,exports-to-sal,2
6194,decad,1
6195,25.9,2
6196,half-year,2
6197,non-oil-produc,1
6198,troubl,4
6199,low-pric,1
6200,liquefi,3
6201,fusion,1
6202,man-mad,1
6203,satellit,3
6204,f-15,1
6205,f-14,1
6206,jet,5
6207,fighter,4
6208,plane,3
6209,f-1,1
6210,expert,1
6211,mcdonnel,1
6212,f-18,1
6213,dynam,1
6214,f-16,1
6215,27.9,1
